% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% Temperature scaling method : based on the correlation between annual mean regional d18O and regional T from ECHAM-wiso forced by ERA-Interim
% West Antarctica adjusted to match the temperature trend between 1000 and 1400 AD based on borehole temperature measurements (Orsi et al, 2012)
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : Whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
1675	-0.4971	0.5458	0.1473	-0.5827	-0.2753	-1.0374	-1.3873	-0.3184	-0.3776	-0.2729
1685	-0.5074	0.5576	-0.2728	0.6345	0.303	-0.5749	-1.9755	0.3494	-0.3733	-0.1651
1695	-0.6899	-0.8458	-0.7019	-0.2836	0.6665	-1.1974	-3.9518	0.5333	-0.673	-0.3128
1705	-0.3959	0.3085	0.3191	0.0677	0.0948	-0.4648	-1.27	0.091	-0.5263	-0.296
1715	-0.1151	1.2351	0.097	-0.0009	-0.0809	-0.2534	-0.6073	-0.0697	-0.3903	-0.2412
1725	-0.0381	0.5887	0.9061	-0.868	0.3355	-1.0069	1.9544	0.1668	-0.1247	-0.0472
1735	-0.2562	0.2646	0.9362	0.7735	0.08	-0.5281	-1.4048	0.1772	-0.1252	-0.0459
1745	-0.2778	0.0725	-0.1512	-0.4597	-0.872	-0.4381	0.4214	-0.8142	-0.2239	-0.2603
1755	0.2449	0.1471	0.5804	-0.0004	-0.1847	-0.7287	-0.3467	-0.1588	0.2602	0.1284
1765	-0.5965	-0.2306	-0.0105	0.1991	0.4189	-1.2817	-0.726	0.3881	-0.3748	-0.1599
1775	-0.4756	-0.31	0.1865	0.0338	-0.0665	-0.9527	0.0997	-0.0524	-0.4506	-0.274
1785	-0.5812	-0.787	-0.8165	-0.03	-0.2226	0.1318	-0.7117	-0.1956	-0.5863	-0.3766
1795	-0.5514	-0.3264	0.3513	0.2285	-0.1554	-0.0948	0.7098	-0.1016	-0.4914	-0.3058
1805	-0.5494	-1.0744	0.7041	-0.9153	-0.1292	-0.7671	-0.421	-0.2394	-0.4829	-0.3225
1815	-0.3293	-0.3857	1.0709	-0.0662	0.2797	-0.167	0.0406	0.2312	-0.0773	-0.0092
1825	-0.4971	0.2491	-0.4949	-0.6955	0.502	-0.8161	-0.4646	0.3341	-0.3208	-0.1365
1835	-0.3526	0.2785	0.2468	1.5404	0.9307	-0.8816	-0.3049	1.0162	-0.3559	-0.0498
1845	-0.6011	-0.6344	0.1111	-1.4963	-0.1388	-0.4108	0.1556	-0.3291	-0.6995	-0.4644
