% Antarctica 2K 2017 isotope anomalies (relative to 1900-1990 reference interval)
% weighting method : unweighted, with grid reduction
% smoothing : 10-year binned averages
% columns after each regional mean composite give details of n (number of records) as well as 5%, 25%, 75% and 95% levels of composites
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau (mean; per mil, d18O equivalent)
% col 9 : Wilkes Land Coast (mean; per mil, d18O equivalent)
% col 16 : Weddell Sea Coast (mean; per mil, d18O equivalent)
% col 23 : Antarctic Peninsula (mean; per mil, d18O equivalent)
% col 30 : West Antarctic Ice Sheet (mean; per mil, d18O equivalent)
% col 37 : Victoria Land Coast (mean; per mil, d18O equivalent)
% col 44 : Dronning Maud Land Coast (mean; per mil, d18O equivalent)


Time (year AD, centre of 10y bin)	1. East Antarctic Plateau	n	5%	25%	75%	95%		2. Wilkes Land Coast	n	5%	25%	75%	95%		3. Weddell Sea Coast	n	5%	25%	75%	95%		4. Antarctic Peninsula	n	5%	25%	75%	95%		5. West Antarctic Ice Sheet	n	5%	25%	75%	95%		6. Victoria Land Coast	n	5%	25%	75%	95%		7. Dronning Maud Land Coast	n	5%	25%	75%	95%
565	0.3459	5	-0.3979	-0.3858	0.8274	1.2682		-0.3651	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.3001	1	NaN	NaN	NaN	NaN		-0.1167	2	-1.0275	-1.0275	0.7941	0.7941		-0.391	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
575	0.2764	5	-0.6154	-0.1305	0.6244	1.3989		0.5664	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.3826	1	NaN	NaN	NaN	NaN		0.4089	2	-0.0219	-0.0219	0.8397	0.8397		-0.151	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
585	0.5238	5	-0.3208	-0.0693	1.1270	1.8042		0.274	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.2212	1	NaN	NaN	NaN	NaN		0.9598	2	0.0782	0.0782	1.8413	1.8413		-1.246	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
595	0.5976	5	-0.6722	-0.0604	1.1531	2.3922		0.3659	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1143	1	NaN	NaN	NaN	NaN		-0.1004	2	-1.0400	-1.0400	0.8391	0.8391		0.743	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
605	-0.2301	5	-0.7128	-0.6330	0.0081	0.5887		0.3863	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.0449	1	NaN	NaN	NaN	NaN		0.0743	2	-2.0318	-2.0318	2.1805	2.1805		-1.273	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
615	0.5678	5	-0.3229	0.0354	0.8883	2.4294		0.068	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.0887	1	NaN	NaN	NaN	NaN		-0.2444	2	-2.0999	-2.0999	1.6111	1.6111		-0.818	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
625	-0.1559	5	-1.0307	-0.7870	0.4427	0.8272		0.2128	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.5801	1	NaN	NaN	NaN	NaN		-0.0583	2	-1.3838	-1.3838	1.2672	1.2672		0.474	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
635	-0.518	5	-1.0376	-0.7770	-0.2995	0.0341		0.0799	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1232	1	NaN	NaN	NaN	NaN		0.7456	2	0.5342	0.5342	0.9570	0.9570		1.491	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
645	0.1005	5	-1.0671	-0.6466	0.8766	1.3968		0.4257	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.1919	1	NaN	NaN	NaN	NaN		-0.4012	2	-1.3181	-1.3181	0.5157	0.5157		0.163	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
655	-0.7367	5	-1.6488	-0.9057	-0.4020	-0.3616		-0.0294	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.3607	1	NaN	NaN	NaN	NaN		-0.648	2	-2.0722	-2.0722	0.7762	0.7762		0.0474	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
