% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% Temperature scaling method : based on 1960-2010 variance of NB2014
% West Antarctica adjusted to match the temperature trend between 1000 and 1400 AD based on borehole temperature measurements (Orsi et al, 2012)
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : Whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
1255	-0.2256	0.1034	0.2735	0.4202	0.6687	-0.1627	      NaN	0.4703	-0.2754	-0.0787
1265	-0.2249	-0.1355	0.1212	-0.1935	0.2047	0.4082	      NaN	-0.0412	-0.0655	0.0599
1275	-0.2206	-0.3324	0.5252	0.4748	-0.2372	0.7331	      NaN	0.043	-0.2237	-0.1625
1285	-0.5223	-0.1333	0.2106	-0.7559	0.4666	-0.0764	      NaN	-0.2524	-0.344	-0.1571
1295	-0.0999	-0.1021	0.2245	0.2539	-0.7142	-1.3707	      NaN	-0.3806	-0.0422	-0.1475
1305	-0.1811	0.5215	0.1147	-0.491	0.9942	-0.9904	      NaN	0.2799	-0.0761	0.0731
1315	0.3372	0.6127	0.0432	0.1782	0.7707	-0.7155	      NaN	0.3803	0.3374	0.4396
1325	-0.2081	0.6857	0.0422	0.0837	-0.2722	-1.103	      NaN	-0.1526	-0.018	-0.1227
1335	-0.7351	0.5376	-0.5851	-0.0706	0.5245	-1.2331	      NaN	0.1679	-0.6252	-0.362
1345	0.1592	0.983	0.4973	0.3104	-0.0173	-0.6259	      NaN	-0.0627	0.1458	0.0697
1355	0.0271	0.6224	0.2036	-0.2066	0.4446	-0.3508	      NaN	0.2229	-0.0204	-0.0007
1365	0.2379	0.2298	0.2141	-0.469	0.5522	-0.85	      NaN	0.0472	0.1486	0.1534
1375	-0.0125	0.2736	0.1162	-0.7622	0.0761	0.0221	      NaN	-0.2944	-0.045	-0.1731
1385	0.4864	0.7085	0.6986	-0.9095	-0.4081	-0.6141	      NaN	-0.6068	0.4374	0.1663
1395	-0.1774	0.6437	0.6326	-0.168	-0.1855	-0.541	      NaN	-0.3372	-0.0575	-0.212
1405	-0.1075	0.78	0.3374	0.3308	1.6198	-0.3403	      NaN	0.8858	-0.1308	0.1686
1415	-0.577	0.7755	0.0802	-0.4417	0.0643	0.0321	      NaN	-0.1588	-0.5689	-0.4213
1425	-0.4087	-0.0008	0.6771	-1.3127	0.4546	-0.6899	      NaN	-0.2174	-0.3556	-0.2295
1435	-0.5337	0.6211	0.249	-0.6275	0.3356	-0.2916	      NaN	-0.0752	-0.372	-0.2255
1445	-0.1736	-0.0162	-0.0032	0.1218	0.3	0.5831	      NaN	0.1758	-0.2421	-0.149
1455	-0.5314	0.3196	0.0003	-0.8804	-1.1388	-0.5987	      NaN	-1.0041	-0.4695	-0.6402
1465	0.2488	0.4146	0.1651	0.6838	-0.0045	-0.8242	      NaN	0.0496	0.0706	0.0971
1475	-0.5691	0.7842	0.2061	0.0886	-0.0434	0.4868	      NaN	-0.0249	-0.5698	-0.4455
1485	-0.1255	0.0279	-0.4967	-0.344	0.8413	0.048	      NaN	0.5042	-0.4004	-0.1607
1495	-0.2547	0.1189	0.5522	-0.429	0.6343	-0.4732	      NaN	0.2009	-0.0563	0.1375
1505	-0.0152	0.2595	-0.215	0.1736	0.1409	-1.0143	      NaN	0.0888	-0.268	-0.2226
1515	-0.1902	0.6346	-0.0766	-0.3671	0.1074	-1.3573	      NaN	0.0188	-0.323	-0.1963
1525	-0.1938	1.3505	0.0892	-0.1214	0.5524	-0.1664	      NaN	0.3699	-0.134	-0.0925
1535	0.3202	0.2826	0.4114	0.1044	0.5057	-0.0866	-0.1965	0.3768	0.357	0.2623
1545	-0.352	0.0302	0.4958	0.0209	-0.037	-0.9025	-0.1955	0.017	-0.4047	-0.3466
1555	-0.2106	0.4714	0.0602	-0.592	0.8186	-0.3857	-0.2713	0.3286	-0.0262	0.1659
1565	-0.2773	0.5255	0.1271	-0.1387	0.3328	-0.3875	-0.2545	0.1409	-0.1492	-0.0937
1575	-0.6393	-0.1661	0.0337	-0.4033	-0.0966	-1.02	-0.344	-0.2406	-0.5531	-0.4942
1585	0.2208	0.1874	-0.3414	-0.469	0.1473	-0.9173	-0.1831	-0.1638	-0.1196	-0.1195
1595	-0.3139	0.001	-0.1835	0.3777	-0.0349	-0.425	-0.6027	0.0966	-0.3976	-0.2645
1605	0.1367	0.5228	0.2735	-0.0662	-0.0168	0.204	-0.6034	0.1253	0.1505	0.1014
1615	-0.325	0.9048	-0.3269	0.2507	0.3696	0.0397	-0.2587	0.2562	-0.3029	-0.2076
1625	-0.7164	0.3969	0.1641	-0.2509	0.0493	-1.012	-0.2664	-0.1287	-0.6938	-0.5851
1635	-0.2983	0.0143	0.1506	-0.2525	0.6617	-0.5683	-0.1857	0.3311	-0.2009	-0.0778
1645	-0.3216	0.3542	0.2675	-0.2468	-0.0588	-0.5874	-0.2116	-0.0965	-0.449	-0.4448
1655	-0.5054	0.7457	-0.0617	0.1371	1.2682	-0.1767	-0.3891	0.8398	-0.5207	-0.2165
1665	-0.3913	0.0796	0.8085	-0.0576	0.3499	-0.1033	-0.5219	0.2068	-0.1769	-0.1406
1675	-0.3056	0.4199	0.0732	-0.1832	-0.3697	-0.9713	-0.2424	-0.3993	-0.2868	-0.225
1685	-0.346	0.429	-0.1356	0.1972	0.5682	-0.6469	-0.3452	0.4299	-0.3041	-0.2035
1695	-0.4445	-0.6508	-0.3489	-0.1024	1.0511	-1.2703	-0.6906	0.6152	-0.5766	-0.3816
1705	-0.2078	0.2373	0.1586	0.0285	0.1398	-0.4706	-0.2219	0.0717	-0.3467	-0.215
1715	-0.0404	0.9503	0.0482	-0.0014	-0.1122	-0.0979	-0.1061	-0.1416	-0.217	-0.168
1725	-0.0611	0.4529	0.4503	-0.2959	0.463	-0.9114	0.3415	0.1735	-0.1322	-0.2497
1735	-0.183	0.2036	0.4653	0.2622	0.1003	-0.3756	-0.2455	0.1431	-0.1048	-0.0905
1745	-0.1926	0.0558	-0.0751	-0.1494	-1.5079	-0.3856	0.1839	-1.0858	-0.1941	-0.3233
1755	0.2085	0.1132	0.2885	0.0007	-0.5134	-0.5891	-0.146	-0.3254	0.2169	0.0412
1765	-0.4083	0.0514	-0.0052	0.0825	0.6959	-1.312	-0.133	0.4158	-0.2968	-0.2754
1775	-0.309	0.1648	0.0927	0.022	-0.0042	-0.8831	-0.0034	-0.3818	-0.3138	-0.2214
1785	-0.4007	-0.1999	-0.4058	-0.0058	-0.0942	0.1242	-0.1779	-0.0266	-0.4569	-0.4013
1795	-0.3325	-0.0788	0.1746	0.0775	-0.193	-0.119	0.1309	-0.0239	-0.3453	-0.2061
1805	-0.3413	-0.4548	0.3499	-0.3038	-0.0904	-0.6707	-0.1667	-0.1598	-0.4077	-0.3131
1815	-0.2745	-0.1861	0.5322	-0.0154	0.2522	-0.0524	0.0678	0.0384	-0.1436	-0.0017
1825	-0.3227	0.0764	-0.246	-0.2293	0.6141	-0.75	-0.0868	0.2895	-0.2519	-0.0864
1835	-0.1902	0.0071	0.1227	0.5278	0.889	-0.862	-0.0875	0.6008	-0.2471	0.0375
1845	-0.3939	-0.012	0.0552	-0.5064	-0.3411	-0.3072	0.0347	-0.4249	-0.538	-0.4214
1855	-0.4396	0.2564	-0.3224	-0.4124	0.3993	-0.7779	-0.0635	0.0453	-0.5007	-0.3622
1865	-0.1012	0.2083	-0.664	-0.4558	0.1168	0.395	0.248	-0.3047	-0.2144	-0.013
1875	-0.0271	-0.1783	-0.4982	0.0656	0.1519	-0.3102	-0.3364	0.0628	-0.2	-0.0563
1885	-0.0969	-0.2876	0.1296	-0.2031	0.4151	0.6069	-0.0339	0.1047	-0.0078	0.1614
1895	0.2731	-0.0876	-0.0916	-0.0987	-0.0269	-0.3985	-0.2796	-0.1455	0.1779	0.0847
1905	0.1589	-0.0715	0.0787	-0.0567	-0.4226	-0.0301	0.1243	-0.3181	0.2534	0.2251
1915	-0.0313	-0.0704	0.4593	-0.1319	0.0807	-0.0031	0.0352	0.059	-0.017	0.0308
1925	0.4812	-0.0733	-0.2185	-0.3017	0.0629	0.0438	-0.0084	-0.1055	0.3704	0.1635
1935	0.0401	-0.1859	-0.1286	-0.1593	0.1754	0.1609	-0.2739	0.0063	-0.2574	-0.1327
1945	-0.1935	-0.0323	0.2405	-0.1541	-0.0791	-0.0198	-0.1169	-0.1071	-0.24	-0.09
1955	-0.2367	0.1299	-0.1386	0.0567	-0.3374	-0.0854	-0.096	-0.1416	-0.1959	-0.189
1965	-0.034	-0.1425	-0.2964	-0.1493	-0.1287	0.1626	0.1168	-0.1004	0.0147	-0.063
1975	-0.3277	0.0676	-0.3424	0.2886	0.2828	0.0341	0.1469	0.2706	-0.2749	-0.2041
1985	0.0259	0.3784	0.3459	0.6077	0.366	-0.1976	0.1988	0.4369	0.1449	0.2355
1995	-0.039	-0.2413	      NaN	0.669	0.6096	-0.1592	0.41	0.6345	0.3264	0.3428
2005	0.3324	      NaN	      NaN	1.2428	0.958	-0.6054	0.473	1.0216	0.0152	0.2938
