% Antarctica 2K 2017 isotope anomalies (relative to 1960-1990 reference interval)
% weighting method : unweighted, with grid reduction
% smoothing : 5-year binned averages
% columns after each regional mean composite give details of n (number of records) as well as 5%, 25%, 75% and 95% levels of composites
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau (mean; per mil, d18O equivalent)
% col 9 : Wilkes Land Coast (mean; per mil, d18O equivalent)
% col 16 : Weddell Sea Coast (mean; per mil, d18O equivalent)
% col 23 : Antarctic Peninsula (mean; per mil, d18O equivalent)
% col 30 : West Antarctic Ice Sheet (mean; per mil, d18O equivalent)
% col 37 : Victoria Land Coast (mean; per mil, d18O equivalent)
% col 44 : Dronning Maud Land Coast (mean; per mil, d18O equivalent)

Time (year AD, centre of 5y bin)	1. East Antarctic Plateau	n	5%	25%	75%	95%		2. Wilkes Land Coast	n	5%	25%	75%	95%		3. Weddell Sea Coast	n	5%	25%	75%	95%		4. Antarctic Peninsula	n	5%	25%	75%	95%		5. West Antarctic Ice Sheet	n	5%	25%	75%	95%		6. Victoria Land Coast	n	5%	25%	75%	95%		7. Dronning Maud Land Coast	n	5%	25%	75%	95%
1967.5	-0.1883	38	-1.2908	-0.4193	0.2352	0.5238		-0.013	2	-0.4208	-0.4208	0.3947	0.3947		-0.2750	1	NaN	NaN	NaN	NaN		-0.5127	4	-0.6257	-0.5645	-0.4608	-0.4192		0.1179	15	-0.6255	-0.1701	0.2627	1.2987		0.9183	4	0.4566	0.4566	1.3800	1.3800		-0.0755	7	-1.3803	-0.4914	0.6263	0.7761
1972.5	-0.0189	38	-0.7870	-0.3934	0.7120	0.9301		-0.4852	2	-0.9822	-0.9822	0.0118	0.0118		-0.6450	1	NaN	NaN	NaN	NaN		0.4256	4	-0.0083	0.1789	0.6722	0.8009		0.3282	16	-0.3725	-0.2318	0.8300	1.2954		-0.1038	4	-0.4529	-0.4529	0.2453	0.2453		0.2882	7	-0.3783	-0.2848	0.8243	1.7481
1977.5	0.0374	39	-0.8190	-0.3300	0.3124	0.9944		-0.1434	2	-0.5187	-0.5187	0.2319	0.2319		-0.3350	1	NaN	NaN	NaN	NaN		-0.0332	4	-0.4054	-0.2769	0.2106	0.2335		-0.3855	16	-1.4907	-0.9992	0.1633	0.4481		-0.1405	4	-0.2758	-0.2758	-0.0053	-0.0053		0.5679	7	-0.5817	0.1976	1.0543	1.2001
1982.5	-0.2355	39	-1.1044	-0.6271	0.2060	0.3178		0.582	2	0.5538	0.5538	0.6103	0.6103		1.0790	1	NaN	NaN	NaN	NaN		0.179	4	-0.1535	-0.1324	0.4905	0.6815		0.45	16	-0.3099	-0.1862	0.8449	1.2789		0.1302	4	0.0035	0.0035	0.2569	0.2569		-0.0334	7	-0.7447	-0.3469	0.2404	0.8540
1987.5	0.2949	38	-0.6721	-0.2093	0.8319	1.4170		0.38	2	-0.1940	-0.1940	0.9540	0.9540		0.6970	1	NaN	NaN	NaN	NaN		0.1856	4	-0.5235	-0.0991	0.4704	0.4959		-0.128	15	-1.5372	-0.3328	0.2451	0.6250		-0.3771	4	-1.2339	-1.2339	0.4797	0.4797		0.0965	7	-0.7395	-0.1801	0.4483	0.4952
1992.5	-0.1098	37	-1.7589	-0.9378	0.3636	1.6176		-0.3518	1	NaN	NaN	NaN	NaN		-1.5623	1	NaN	NaN	NaN	NaN		0.1405	3	-0.2887	-0.1745	0.4486	0.5421		0.3649	15	-0.3627	0.1127	0.6318	0.9493		0.6456	4	-0.0508	-0.0508	1.3419	1.3419		0.8	6	0.6713	0.7315	0.8685	0.8845
1997.5	0.6216	18	-1.3671	-0.3575	1.6037	2.5182		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.5949	3	0.3757	0.4311	0.7580	0.8116		0.1317	15	-1.1051	-0.3458	0.8079	0.8680		-1.2467	3	-1.6147	-1.6147	-0.8787	-0.8787		0.5679	4	0.0972	0.3289	0.8070	0.9523
2002.5	0.0921	6	-1.7227	-0.0229	0.9337	0.9507		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.5509	3	0.4138	0.4551	0.6397	0.6598		0.2033	5	-0.8436	-0.3991	0.8056	1.2038		-1.2246	2	-1.3606	-1.3606	-1.0886	-1.0886		0.3563	2	-0.4615	-0.4615	1.1740	1.1740
2007.5	0.6357	4	-1.1789	-0.4109	1.6824	2.5723		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.5383	2	0.0868	0.0868	0.9898	0.9898		0.9463	2	0.7324	0.7324	1.1603	1.1603		      NaN	0	NaN	NaN	NaN	NaN		0.5825	1	NaN	NaN	NaN	NaN
2012.5	      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		2.1462	1	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
