Date,Time (GMT),Predicted (m),Verified (m),Preliminary (m),Forecast Guidance(m)
2023/08/28,22:00,-1.077,-0.892,-,-
2023/08/28,22:06,-1.092,-0.911,-,-
2023/08/28,22:12,-1.106,-0.923,-,-
2023/08/28,22:18,-1.118,-0.931,-,-
2023/08/28,22:24,-1.13,-0.943,-,-
2023/08/28,22:30,-1.14,-0.958,-,-
2023/08/28,22:36,-1.149,-0.971,-,-
2023/08/28,22:42,-1.157,-0.98,-,-
2023/08/28,22:48,-1.163,-0.983,-,-
2023/08/28,22:54,-1.168,-0.982,-,-
2023/08/28,23:00,-1.172,-0.977,-,-
2023/08/28,23:06,-1.174,-0.964,-,-
2023/08/28,23:12,-1.176,-0.95,-,-
2023/08/28,23:18,-1.176,-0.928,-,-
2023/08/28,23:24,-1.174,-0.909,-,-
2023/08/28,23:30,-1.172,-0.885,-,-
2023/08/28,23:36,-1.168,-0.866,-,-
2023/08/28,23:42,-1.163,-0.859,-,-
2023/08/28,23:48,-1.157,-0.856,-,-
2023/08/28,23:54,-1.15,-0.847,-,-
2023/08/29,00:00,-1.142,-0.833,-,-
2023/08/29,00:06,-1.132,-0.815,-,-
2023/08/29,00:12,-1.122,-0.799,-,-
2023/08/29,00:18,-1.11,-0.788,-,-
2023/08/29,00:24,-1.098,-0.778,-,-
2023/08/29,00:30,-1.084,-0.769,-,-
2023/08/29,00:36,-1.07,-0.758,-,-
2023/08/29,00:42,-1.054,-0.734,-,-
2023/08/29,00:48,-1.038,-0.709,-,-
2023/08/29,00:54,-1.021,-0.689,-,-
2023/08/29,01:00,-1.003,-0.673,-,-
2023/08/29,01:06,-0.984,-0.648,-,-
2023/08/29,01:12,-0.964,-0.625,-,-
2023/08/29,01:18,-0.944,-0.599,-,-
2023/08/29,01:24,-0.923,-0.575,-,-
2023/08/29,01:30,-0.901,-0.544,-,-
2023/08/29,01:36,-0.878,-0.519,-,-
2023/08/29,01:42,-0.856,-0.503,-,-
2023/08/29,01:48,-0.832,-0.484,-,-
2023/08/29,01:54,-0.808,-0.466,-,-
2023/08/29,02:00,-0.784,-0.445,-,-
2023/08/29,02:06,-0.759,-0.421,-,-
2023/08/29,02:12,-0.734,-0.4,-,-
2023/08/29,02:18,-0.709,-0.38,-,-
2023/08/29,02:24,-0.684,-0.357,-,-
2023/08/29,02:30,-0.659,-0.333,-,-
2023/08/29,02:36,-0.633,-0.304,-,-
2023/08/29,02:42,-0.608,-0.277,-,-
2023/08/29,02:48,-0.583,-0.254,-,-
2023/08/29,02:54,-0.558,-0.228,-,-
2023/08/29,03:00,-0.534,-0.194,-,-
2023/08/29,03:06,-0.509,-0.162,-,-
2023/08/29,03:12,-0.485,-0.143,-,-
2023/08/29,03:18,-0.462,-0.127,-,-
2023/08/29,03:24,-0.439,-0.11,-,-
2023/08/29,03:30,-0.417,-0.083,-,-
2023/08/29,03:36,-0.395,-0.061,-,-
2023/08/29,03:42,-0.374,-0.035,-,-
2023/08/29,03:48,-0.354,-0.014,-,-
2023/08/29,03:54,-0.335,0.005,-,-
2023/08/29,04:00,-0.316,0.037,-,-
2023/08/29,04:06,-0.298,0.068,-,-
2023/08/29,04:12,-0.281,0.096,-,-
2023/08/29,04:18,-0.265,0.124,-,-
2023/08/29,04:24,-0.25,0.149,-,-
2023/08/29,04:30,-0.236,0.155,-,-
2023/08/29,04:36,-0.222,0.169,-,-
2023/08/29,04:42,-0.21,0.196,-,-
2023/08/29,04:48,-0.198,0.201,-,-
2023/08/29,04:54,-0.188,0.184,-,-
2023/08/29,05:00,-0.178,0.187,-,-
2023/08/29,05:06,-0.17,0.198,-,-
2023/08/29,05:12,-0.162,0.21,-,-
2023/08/29,05:18,-0.155,0.214,-,-
2023/08/29,05:24,-0.15,0.222,-,-
2023/08/29,05:30,-0.145,0.22,-,-
2023/08/29,05:36,-0.141,0.213,-,-
2023/08/29,05:42,-0.138,0.2,-,-
2023/08/29,05:48,-0.136,0.2,-,-
2023/08/29,05:54,-0.135,0.204,-,-
2023/08/29,06:00,-0.135,0.21,-,-
2023/08/29,06:06,-0.136,0.221,-,-
2023/08/29,06:12,-0.137,0.236,-,-
2023/08/29,06:18,-0.14,0.229,-,-
2023/08/29,06:24,-0.143,0.226,-,-
2023/08/29,06:30,-0.147,0.223,-,-
2023/08/29,06:36,-0.152,0.212,-,-
2023/08/29,06:42,-0.158,0.196,-,-
2023/08/29,06:48,-0.164,0.178,-,-
2023/08/29,06:54,-0.171,0.178,-,-
2023/08/29,07:00,-0.178,0.18,-,-
2023/08/29,07:06,-0.187,0.16,-,-
2023/08/29,07:12,-0.195,0.161,-,-
2023/08/29,07:18,-0.205,0.166,-,-
2023/08/29,07:24,-0.215,0.166,-,-
2023/08/29,07:30,-0.225,0.152,-,-
2023/08/29,07:36,-0.236,0.097,-,-
2023/08/29,07:42,-0.247,0.023,-,-
2023/08/29,07:48,-0.259,0.003,-,-
2023/08/29,07:54,-0.271,0.01,-,-
2023/08/29,08:00,-0.283,-0.009,-,-
2023/08/29,08:06,-0.295,-0.035,-,-
2023/08/29,08:12,-0.308,-0.056,-,-
2023/08/29,08:18,-0.321,-0.06,-,-
2023/08/29,08:24,-0.334,-0.064,-,-
2023/08/29,08:30,-0.347,-0.07,-,-
2023/08/29,08:36,-0.36,-0.076,-,-
2023/08/29,08:42,-0.374,-0.089,-,-
2023/08/29,08:48,-0.387,-0.107,-,-
2023/08/29,08:54,-0.4,-0.128,-,-
2023/08/29,09:00,-0.413,-0.155,-,-
2023/08/29,09:06,-0.426,-0.167,-,-
2023/08/29,09:12,-0.439,-0.174,-,-
2023/08/29,09:18,-0.451,-0.181,-,-
2023/08/29,09:24,-0.463,-0.188,-,-
2023/08/29,09:30,-0.475,-0.184,-,-
2023/08/29,09:36,-0.486,-0.185,-,-
2023/08/29,09:42,-0.496,-0.2,-,-
2023/08/29,09:48,-0.507,-0.223,-,-
2023/08/29,09:54,-0.516,-0.248,-,-
2023/08/29,10:00,-0.525,-0.27,-,-
2023/08/29,10:06,-0.533,-0.293,-,-
2023/08/29,10:12,-0.54,-0.306,-,-
2023/08/29,10:18,-0.546,-0.318,-,-
2023/08/29,10:24,-0.552,-0.322,-,-
2023/08/29,10:30,-0.556,-0.325,-,-
2023/08/29,10:36,-0.56,-0.327,-,-
2023/08/29,10:42,-0.562,-0.335,-,-
2023/08/29,10:48,-0.564,-0.347,-,-
2023/08/29,10:54,-0.564,-0.361,-,-
2023/08/29,11:00,-0.563,-0.361,-,-
2023/08/29,11:06,-0.561,-0.353,-,-
2023/08/29,11:12,-0.558,-0.343,-,-
2023/08/29,11:18,-0.554,-0.337,-,-
2023/08/29,11:24,-0.549,-0.325,-,-
2023/08/29,11:30,-0.543,-0.312,-,-
2023/08/29,11:36,-0.536,-0.303,-,-
2023/08/29,11:42,-0.527,-0.298,-,-
2023/08/29,11:48,-0.518,-0.287,-,-
2023/08/29,11:54,-0.508,-0.281,-,-
2023/08/29,12:00,-0.497,-0.279,-,-
2023/08/29,12:06,-0.484,-0.278,-,-
2023/08/29,12:12,-0.471,-0.273,-,-
2023/08/29,12:18,-0.457,-0.266,-,-
2023/08/29,12:24,-0.443,-0.25,-,-
2023/08/29,12:30,-0.427,-0.221,-,-
2023/08/29,12:36,-0.411,-0.196,-,-
2023/08/29,12:42,-0.394,-0.174,-,-
2023/08/29,12:48,-0.377,-0.156,-,-
2023/08/29,12:54,-0.359,-0.138,-,-
2023/08/29,13:00,-0.34,-0.122,-,-
2023/08/29,13:06,-0.321,-0.099,-,-
2023/08/29,13:12,-0.302,-0.074,-,-
2023/08/29,13:18,-0.282,-0.051,-,-
2023/08/29,13:24,-0.262,-0.033,-,-
2023/08/29,13:30,-0.241,-0.011,-,-
2023/08/29,13:36,-0.22,0.007,-,-
2023/08/29,13:42,-0.199,0.033,-,-
2023/08/29,13:48,-0.178,0.061,-,-
2023/08/29,13:54,-0.157,0.096,-,-
2023/08/29,14:00,-0.136,0.124,-,-
2023/08/29,14:06,-0.115,0.151,-,-
2023/08/29,14:12,-0.093,0.176,-,-
2023/08/29,14:18,-0.072,0.196,-,-
2023/08/29,14:24,-0.051,0.218,-,-
2023/08/29,14:30,-0.031,0.238,-,-
2023/08/29,14:36,-0.011,0.249,-,-
2023/08/29,14:42,0.009,0.274,-,-
2023/08/29,14:48,0.029,0.307,-,-
2023/08/29,14:54,0.048,0.331,-,-
2023/08/29,15:00,0.066,0.347,-,-
2023/08/29,15:06,0.084,0.369,-,-
2023/08/29,15:12,0.1,0.383,-,-
2023/08/29,15:18,0.117,0.39,-,-
2023/08/29,15:24,0.132,0.416,-,-
2023/08/29,15:30,0.146,0.445,-,-
2023/08/29,15:36,0.16,0.467,-,-
2023/08/29,15:42,0.172,0.459,-,-
2023/08/29,15:48,0.184,0.466,-,-
2023/08/29,15:54,0.194,0.494,-,-
2023/08/29,16:00,0.204,0.517,-,-
2023/08/29,16:06,0.212,0.513,-,-
2023/08/29,16:12,0.219,0.53,-,-
2023/08/29,16:18,0.225,0.534,-,-
2023/08/29,16:24,0.229,0.545,-,-
2023/08/29,16:30,0.233,0.553,-,-
2023/08/29,16:36,0.235,0.577,-,-
2023/08/29,16:42,0.236,0.574,-,-
2023/08/29,16:48,0.236,0.553,-,-
2023/08/29,16:54,0.234,0.558,-,-
2023/08/29,17:00,0.232,0.528,-,-
2023/08/29,17:06,0.228,0.493,-,-
2023/08/29,17:12,0.223,0.502,-,-
2023/08/29,17:18,0.216,0.498,-,-
2023/08/29,17:24,0.209,0.483,-,-
2023/08/29,17:30,0.2,0.467,-,-
2023/08/29,17:36,0.191,0.457,-,-
2023/08/29,17:42,0.18,0.463,-,-
2023/08/29,17:48,0.168,0.456,-,-
2023/08/29,17:54,0.154,0.444,-,-
2023/08/29,18:00,0.14,0.433,-,-
2023/08/29,18:06,0.125,0.427,-,-
2023/08/29,18:12,0.109,0.419,-,-
2023/08/29,18:18,0.091,0.411,-,-
2023/08/29,18:24,0.073,0.395,-,-
2023/08/29,18:30,0.054,0.369,-,-
2023/08/29,18:36,0.034,0.355,-,-
2023/08/29,18:42,0.013,0.324,-,-
2023/08/29,18:48,-0.009,0.297,-,-
2023/08/29,18:54,-0.031,0.287,-,-
2023/08/29,19:00,-0.055,0.262,-,-
2023/08/29,19:06,-0.079,0.239,-,-
2023/08/29,19:12,-0.103,0.222,-,-
2023/08/29,19:18,-0.129,0.208,-,-
2023/08/29,19:24,-0.154,0.194,-,-
2023/08/29,19:30,-0.181,0.175,-,-
2023/08/29,19:36,-0.208,0.142,-,-
2023/08/29,19:42,-0.235,0.069,-,-
2023/08/29,19:48,-0.263,0.028,-,-
2023/08/29,19:54,-0.291,0.025,-,-
2023/08/29,20:00,-0.319,0.03,-,-
2023/08/29,20:06,-0.348,0.047,-,-
2023/08/29,20:12,-0.377,0.032,-,-
2023/08/29,20:18,-0.407,0.044,-,-
2023/08/29,20:24,-0.436,0.044,-,-
2023/08/29,20:30,-0.466,-0.052,-,-
2023/08/29,20:36,-0.495,-0.128,-,-
2023/08/29,20:42,-0.525,-0.127,-,-
2023/08/29,20:48,-0.555,-0.107,-,-
2023/08/29,20:54,-0.584,-0.107,-,-
2023/08/29,21:00,-0.614,-0.13,-,-
2023/08/29,21:06,-0.644,-0.178,-,-
2023/08/29,21:12,-0.673,-0.227,-,-
2023/08/29,21:18,-0.702,-0.26,-,-
2023/08/29,21:24,-0.731,-0.287,-,-
2023/08/29,21:30,-0.76,-0.311,-,-
2023/08/29,21:36,-0.788,-0.324,-,-
2023/08/29,21:42,-0.816,-0.34,-,-
2023/08/29,21:48,-0.844,-0.363,-,-
2023/08/29,21:54,-0.871,-0.391,-,-
2023/08/29,22:00,-0.897,-0.427,-,-
2023/08/29,22:06,-0.922,-0.462,-,-
2023/08/29,22:12,-0.947,-0.483,-,-
2023/08/29,22:18,-0.971,-0.496,-,-
2023/08/29,22:24,-0.995,-0.501,-,-
2023/08/29,22:30,-1.017,-0.51,-,-
2023/08/29,22:36,-1.038,-0.534,-,-
2023/08/29,22:42,-1.058,-0.563,-,-
2023/08/29,22:48,-1.077,-0.584,-,-
2023/08/29,22:54,-1.095,-0.594,-,-
2023/08/29,23:00,-1.112,-0.607,-,-
2023/08/29,23:06,-1.127,-0.62,-,-
2023/08/29,23:12,-1.141,-0.64,-,-
2023/08/29,23:18,-1.154,-0.663,-,-
2023/08/29,23:24,-1.165,-0.689,-,-
2023/08/29,23:30,-1.175,-0.71,-,-
2023/08/29,23:36,-1.183,-0.715,-,-
2023/08/29,23:42,-1.19,-0.711,-,-
2023/08/29,23:48,-1.196,-0.711,-,-
2023/08/29,23:54,-1.2,-0.713,-,-
2023/08/30,00:00,-1.202,-0.697,-,-
2023/08/30,00:06,-1.203,-0.673,-,-
2023/08/30,00:12,-1.203,-0.656,-,-
2023/08/30,00:18,-1.201,-0.661,-,-
2023/08/30,00:24,-1.197,-0.678,-,-
2023/08/30,00:30,-1.192,-0.71,-,-
2023/08/30,00:36,-1.186,-0.73,-,-
2023/08/30,00:42,-1.179,-0.738,-,-
2023/08/30,00:48,-1.17,-0.737,-,-
2023/08/30,00:54,-1.16,-0.723,-,-
