 SAMPLE   DUP    START      END       MID     CHLORIDE  NITRATE   SULFATE
   ID            DEPTH     DEPTH     DEPTH      MG/L      MG/L      MG/L


FRE-255    1     55.655    55.895    55.775    0.016     <0.01     <0.01
FRE-256    1     55.895    56.05    55.9725    0.022     0.014     <0.01
FRE-257    1     56.05     56.235   56.1425    0.013     0.015     <0.01
FRE-258    1     56.235    56.42    56.3275    0.017     0.012     <0.01
FRE-258    2     56.235    56.42    56.3275    0.015     <0.01     <0.01
FRE-259    1     56.42     56.615   56.5175    0.018     0.013     <0.01
FRE-259    2     56.42     56.615   56.5175    0.015     <0.01     <0.01
FRE-260    1     56.615    56.815    56.715    0.021     0.023     <0.01
FRE-261    1     56.815     57.1    56.9575    0.022     0.017     <0.01
FRE-262    1      57.1     57.29     57.195    0.015     <0.01     <0.01
FRE-263    1     57.29     57.49     57.39     0.017     0.017     <0.01
FRE-264    1     57.49     57.735   57.6125    0.017     <0.01     <0.01
FRE-265    1     57.735    57.915    57.825    0.015     <0.01     <0.01
FRE-266    1     57.915    58.07    57.9925    0.017     0.013     <0.01
FRE-266    2     57.915    58.07    57.9925    0.015     <0.01     <0.01
FRE-267    1     58.07     58.25     58.16     0.013     <0.01     <0.01
FRE-268    1     58.25     58.46     58.355    0.011      0.01     <0.01
FRE-269    1     58.46     58.695   58.5775    0.011     <0.01     <0.01
FRE-270    1     58.695    58.88    58.7875    0.011     <0.01     <0.01
FRE-271    1     58.88      59.1     58.99     <0.01     <0.01     <0.01
FRE-272    1      59.1     59.42     59.26     <0.01     0.016     <0.01
FRE-273    1     59.42      59.7     59.56     0.017     <0.01     <0.01
FRE-274    1      59.7     59.885   59.7925    0.017     <0.01     <0.01
FRE-275    1     59.885    60.075    59.98     0.014     <0.01     <0.01
FRE-276    1     60.075    60.29    60.1825    0.025     <0.01     <0.01
FRE-277    1     60.29     60.485   60.3875     0.03     <0.01     <0.01
FRE-278    1     60.485    60.685    60.585    0.033     0.022     <0.01
FRE-279    1     60.685    60.89    60.7875    0.022     0.013     <0.01
FRE-280    1     60.89     61.155   61.0225    0.034     0.023     <0.01
FRE-281    1     61.155    61.395    61.275    0.018     <0.01     <0.01
FRE-282    1     61.395    61.68    61.5375    0.034     0.037     <0.01
FRE-283    1     61.68     61.92      61.8     0.016     0.014     <0.01
FRE-284    1     61.92     62.15     62.035    0.079     <0.01     <0.01
FRE-285    1     62.15     62.345   62.2475    0.013     <0.01     <0.01
FRE-286    1     62.345    62.535    62.44     0.015     <0.01     <0.01
FRE-287    1     62.535    62.795    62.665    0.017     <0.01     <0.01
FRE-288    1     62.795    63.01    62.9025    0.011     <0.01     <0.01
FRE-289    1     63.01     63.215   63.1125    0.011     <0.01     <0.01
FRE-290    1     63.215     63.4    63.3075    0.017     0.024     <0.01
FRE-291    1      63.4     63.615   63.5075     0.01     0.014     <0.01
FRE-292    1     63.615    63.85    63.7325    0.012     0.015     <0.01
FRE-293    1     63.85     64.065   63.9575    0.016      0.01     <0.01
FRE-294    1     64.065    64.245    64.155    0.022     0.011     <0.01
FRE-295    1     64.245    64.52    64.3825    0.032     0.037     <0.01
FRE-296    1     64.52     64.84     64.68     0.022     <0.01     <0.01
FRE-297    1     64.84     65.05     64.945    0.028      0.02     <0.01
FRE-298    1     65.05     65.23     65.14     0.022      0.04     <0.01
FRE-299    1     65.23     65.495   65.3625    0.087     0.012     <0.01
FRE-300    1     65.495    65.79    65.6425    0.032      0.04     <0.01
FRE-301    1     65.79     65.965   65.8775    0.018     0.024     <0.01
FRE-302    1     65.965    66.215    66.09     0.021     0.021     <0.01
FRE-303    1     66.215    66.405    66.31     0.019     <0.01     <0.01
FRE-304    1     66.405    66.595     66.5     0.026     0.024     <0.01
FRE-305    1     66.595    66.775    66.685    0.029      0.02     <0.01
FRE-306    1     66.775    66.995    66.885     0.02     <0.01     <0.01
FRE-307    1     66.995    67.195    67.095    0.018     <0.01     <0.01
FRE-308    1     67.195     67.4    67.2975    0.023     0.018     <0.01
FRE-309    1      67.4     67.725   67.5625    0.023     0.019     <0.01
FRE-310    1     67.725    67.925    67.825    0.017     <0.01     <0.01
FRE-311    1     67.925    68.16    68.0425    0.015     <0.01     <0.01
FRE-312    1     68.16     68.44      68.3     0.015     <0.01     <0.01
FRE-313    1     68.44     68.65     68.545    0.014     0.023     <0.01
FRE-314    1     68.65     68.835   68.7425    0.014     0.024     <0.01
FRE-315    1     68.835    69.035    68.935    0.015     <0.01     <0.01
FRE-316    1     69.035    69.225    69.13     0.018     <0.01     <0.01
FRE-317    1     69.225    69.435    69.33     <0.01     <0.01     <0.01
FRE-318    1     69.435    69.64    69.5375    <0.01     <0.01     <0.01
FRE-319    1     69.64     69.835   69.7375    <0.01     <0.01     <0.01
FRE-320    1     69.835    70.045    69.94     <0.01     <0.01     <0.01
FRE-321    1     70.045    70.245    70.145    0.019     0.012     <0.01
FRE-322    1     70.245    70.445    70.345    0.011     <0.01     <0.01
FRE-323    1     70.445    70.605    70.525    0.019      0.02      0.01
FRE-324    1     70.605    70.775    70.69     0.014     <0.01     0.014
FRE-325    1     70.775    71.03    70.9025    0.024     <0.01     <0.01
FRE-326    1     71.03     71.285   71.1575    0.013     <0.01     <0.01
FRE-327    1     71.285    71.56    71.4225    0.017     0.019     <0.01
FRE-328    1     71.56     71.79     71.675    0.015     0.019     <0.01
FRE-329    1     71.79     71.98     71.885    0.012     <0.01     <0.01
FRE-330    1     71.98     72.18     72.08     <0.01     <0.01     <0.01
FRE-331    1     72.18     72.325   72.2525    0.048     <0.01     0.012
FRE-332    1     72.325    72.67    72.4975    0.011     0.028     <0.01
FRE-333    1     72.67     72.975   72.8225    0.015     <0.01     <0.01
FRE-334    1     72.975    73.165    73.07     0.014     0.015     <0.01
FRE-335    1     73.165    73.43    73.2975    0.014     <0.01     <0.01
FRE-336    1     73.43     73.615   73.5225    0.014     0.027     <0.01
FRE-337    1     73.615    73.805    73.71     <0.01     <0.01     <0.01
FRE-338    1     73.805    74.05    73.9275    <0.01     <0.01     <0.01
FRE-339    1     74.005    74.225    74.115    0.035     <0.01     0.032
FRE-340    1     74.225    74.45    74.3375    <0.01     <0.01     <0.01
FRE-341    1     74.45    74.7155   74.58275   <0.01     <0.01     <0.01
FRE-342    1     74.715    75.075    74.895    <0.01     <0.01     <0.01
FRE-343    1     75.075    75.265    75.17     <0.01     <0.01     <0.01
FRE-344    1     75.265    75.45    75.3575    <0.01     <0.01     <0.01
FRE-345    1     75.45     75.635   75.5425    0.014     <0.01     0.016
FRE-346    1     75.635    75.79    75.7125    <0.01     <0.01     <0.01
FRE-347    1     75.79     75.98     75.885    <0.01     0.031     <0.01
FRE-348    1     75.98     76.185   76.0825    <0.01     0.014     <0.01
FRE-349    1      76.2     76.335   76.2675    0.015     <0.01     0.024
FRE-350    1     76.335    76.525    76.43     0.011     <0.01     0.011
FRE-351    1     76.525    76.795    76.66     <0.01     <0.01     <0.01
FRE-351    2     76.525    76.795    76.66     <0.01     <0.01     <0.01
FRE-352    1     76.795      77     76.8975    <0.01     <0.01     <0.01
