0,1,2,3,4,5
UKE00105905,53.2567,-1.9131,PRCP,1875,2023
UKE00156852,54.7678,-1.5842,PRCP,1880,2023
UPM00033902,46.633,32.567,PRCP,1879,2023
USC00033466,34.5128,-93.0486,PRCP,1875,2023
USC00035820,36.2642,-90.9683,PRCP,1871,2023
USC00043157,41.8714,-120.1575,PRCP,1867,2023
USC00090253,32.0306,-84.2461,PRCP,1876,2023
USC00092475,34.5069,-84.0208,PRCP,1874,2023
USC00117391,41.5181,-90.5647,PRCP,1866,2023
USC00144559,38.9583,-95.2514,PRCP,1857,2023
USC00216565,44.0139,-96.3258,PRCP,1877,2023
USC00241008,46.2311,-112.1139,PRCP,1880,2023
USC00287850,39.5697,-75.4617,PRCP,1876,2023
USC00312635,36.0164,-76.5517,PRCP,1872,2023
USC00313017,35.0592,-78.8589,PRCP,1871,2023
USC00313228,35.1803,-83.3931,PRCP,1872,2023
USC00313638,35.64,-77.3983,PRCP,1875,2023
USC00314055,35.0564,-83.1983,PRCP,1879,2023
USC00314938,35.9147,-81.5375,PRCP,1871,2023
USC00315838,35.7297,-81.6728,PRCP,1880,2023
USC00316001,35.0714,-83.9683,PRCP,1872,2023
USC00318500,35.8842,-77.5386,PRCP,1870,2023
USC00361920,40.2258,-77.1894,PRCP,1840,2023
USC00392797,45.7656,-99.6222,PRCP,1877,2023
USC00413257,30.8272,-100.1103,PRCP,1877,2023
USC00414563,30.9153,-94.0097,PRCP,1878,2023
USC00458773,45.6775,-122.6514,PRCP,1856,2023
USC00465224,37.8567,-80.4042,PRCP,1852,2023
USC00467730,39.3389,-78.7711,PRCP,1870,2023
USW00013724,39.3778,-74.4236,PRCP,1873,2023
USW00013736,39.6497,-79.9206,PRCP,1872,2023
USW00013872,35.5953,-82.5567,PRCP,1876,2023
USW00014824,45.7181,-87.0939,PRCP,1871,2023
USW00014838,46.5458,-87.3794,PRCP,1857,2023
USW00023271,38.5553,-121.4183,PRCP,1877,2023
USW00024128,40.9017,-117.8081,PRCP,1877,2023
USW00053919,33.6361,-91.7556,PRCP,1876,2023
USW00093820,38.0339,-84.6114,PRCP,1872,2023
USW00093823,39.45,-87.3,PRCP,1875,2023
USW00094728,40.7789,-73.9692,PRCP,1869,2023
