"Year";"PAGES2013method_NB_infilled_posr_Plateau Recon";"2SE";"PAGES2013method_NB_infilled_posr_Plateau Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
1009;-0.102992743852187;1.6936737948719;-0.113763902588071;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1010;-0.190951668511167;1.6936737948719;-0.0451048291468455;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1011;-0.190447808259632;1.6936737948719;0.012370177129507;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1012;-0.0887528614882066;1.6936737948719;0.0430987877468302;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1013;0.124744725758357;1.6936737948719;0.0408513489257062;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1014;0.291587330293401;1.6936737948719;0.048195217739515;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1015;0.339622049186733;1.6936737948719;0.0855282650833799;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1016;0.269162786258081;1.6936737948719;0.129344071897467;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1017;0.0668291763455644;1.6936737948719;0.146891205649969;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1018;-0.110287496473883;1.6936737948719;0.117872272152903;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1019;-0.029554055714098;1.6936737948719;0.052665865544309;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1020;0.182378804927482;1.6936737948719;-0.0222486363646107;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1021;0.247710259881235;1.6936737948719;-0.0847215139649126;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1022;0.0867184760368139;1.6936737948719;-0.108140675979367;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1023;-0.165444609212298;1.6936737948719;-0.0918421731798965;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1024;-0.36047673579254;1.6936737948719;-0.0725309666132999;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1025;-0.409522969902464;1.6936737948719;-0.0934232740579652;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1026;-0.355565989744938;1.6936737948719;-0.14468939277912;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1027;-0.167362443798981;1.6936737948719;-0.186691299756396;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1028;0.0526975315208236;1.6936737948719;-0.186558791639913;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
1029;0.163558009951868;1.6936737948719;-0.171970599123244;0.408091800886801;-0.52444911691114;-2.29219072477119;0.567648583981678;-0.862271070394754
