"Year";"PAGES2013method_NB_infilled_posr_East-Antarctica Recon";"2SE";"PAGES2013method_NB_infilled_posr_East-Antarctica Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
1220;-0.169737080194428;1.1711572308284;-0.0749612576019633;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1221;-0.375822877552103;1.1711572308284;-0.0578584899361634;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1222;-0.586592426665634;1.1711572308284;-0.0813427189432113;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1223;-0.339069441685598;1.1711572308284;-0.1470735350644;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1224;0.140432269186729;1.1711572308284;-0.210008222033401;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1225;0.0759560646729929;1.1711572308284;-0.242189365929619;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1226;0.324955514643806;1.1711572308284;-0.179835334240096;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1227;-0.398091849258775;1.1711572308284;-0.0666636117193314;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1228;-0.399783108045188;1.1711572308284;0.0240942951541548;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1229;-0.372329285435812;1.1711572308284;0.0528578892929371;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1230;-0.491548519156605;1.1711572308284;0.102081461674319;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1231;0.24771743934312;1.1711572308284;0.0452526672623847;0.678448414576421;-0.0359008604562883;0.149094578536283;0.179573410703888;0.164333994620085
1232;0.545124798542016;1.13374730136253;0.0359332235665242;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1233;0.568509627049264;1.13374730136253;0.0310549669928959;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1234;0.428068210574553;1.13374730136253;0.0556755109260712;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1235;0.568191788486808;1.13374730136253;0.122300986704971;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1236;-0.243332429475533;1.13374730136253;0.109725977989428;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1237;-0.49128628621738;1.13374730136253;0.098040683973418;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1238;-0.448565673781472;1.13374730136253;0.0665554879837389;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1239;-0.126123846104059;1.13374730136253;0.037057282497233;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1240;0.174706238632396;1.13374730136253;0.0254978926695072;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1241;0.121967352187683;1.13374730136253;0.117371489985235;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1242;0.42827185838192;1.13374730136253;0.229309018833213;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1243;0.253657667152472;1.13374730136253;0.346882715939101;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1244;0.133086155709494;1.13374730136253;0.433435444159391;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1245;0.45259789020955;1.13374730136253;0.49061265412541;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
1246;0.675403543681743;1.13374730136253;0.542441763073379;0.678144308598638;-0.00965031273953687;0.0152670776247555;-0.0550672168725295;-0.019900069623887
