Fedchenko Glacier, Tajikistan Trace Element Data 
----------------------------------------------------------------------- 
               World Data Center for Paleoclimatology, Boulder 
                                  and 
                     NOAA Paleoclimatology Program 
----------------------------------------------------------------------- 
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!! 


NAME OF DATA SET: Fedchenko Glacier, Tajikistan Trace Element Data 
LAST UPDATE: 7/2011 (Original receipt by WDC Paleo) 
CONTRIBUTORS: Aizen, V.B., P.A. Mayewski, E.M. Aizen, D.R. Joswiak, 
A.B. Surazakov, S. Kaspari, B. Grigholm, M. Krachler, M. Handley, 
and A. Finaev. 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2011-098 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Aizen, V.B., et al. 2011. 
Fedchenko Glacier, Tajikistan Trace Element Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2011-098. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
Aizen, V.B., P.A. Mayewski, E.M. Aizen, D.R. Joswiak, A.B. Surazakov, 
S. Kaspari, B. Grigholm, M. Krachler, M. Handley, and A. Finaev. 2009. 
Stable-isotope and trace element time series from Fedchenko 
glacier (Pamirs) snow/firn cores. 
Journal of Glaciology, Vol. 55, No. 190, pp. 275-291, April 2009. 
DOI: 10.3189/002214309788608787 

ABSTRACT: 
In summer 2005, two pilot snow/firn cores were obtained at 5365 
and 5206 m a.s.l. on Fedchenko glacier, Pamirs, Tajikistan, 
the world's longest and deepest alpine glacier. The well-defined 
seasonal layering appearing in stable-isotope and trace element 
distribution identified the physical links controlling the climate 
and aerosol concentration signals. Air temperature and humidity/
precipitation were the primary determinants of stable-isotope ratios. 
Most precipitation over the Pamirs originated in the Atlantic. 
In summer, water vapor was re-evaporated from semi-arid regions 
in central Eurasia. The semi-arid regions contribute to non-soluble 
aerosol loading in snow accumulated on Fedchenko glacier. In the 
Pamir core, concentrations of rare earth elements, major and other 
elements were less than those in the Tien Shan but greater than 
those in Antarctica, Greenland, the Alps and the Altai. 
The content of heavy metals in the Fedchenko cores is 2-14 times 
lower than in the Altai glaciers. Loess from Afghan-Tajik deposits 
is the predominant lithogenic material transported to the Pamirs. 
Trace elements generally showed that aerosol concentration tended 
to increase on the windward slopes during dust storms but tended 
to decrease with altitude under clear conditions. The trace element 
profile documented one of the most severe droughts in the 20th century. 




GEOGRAPHIC REGION: Pamir, Tajikistan, Central Asia 
PERIOD OF RECORD: 

FUNDING SOURCES: 
US National Science Foundation (ATM-0754644 and ATM-0754479), 
US National Oceanic and Atmospheric Administration (NA04OAR4600179) 
(to UI and UM). 



DESCRIPTION: 
High-resolution Major and Trace Element data from two shallow 2005 
Fedchenko Glacier ice cores from upper accumulation zone of the Pamir.  

Fedchenko Glacier ice cores: 
Core 1: 38.55°N, 72.26°E, 5365m elev., 12.58m core length
Core 2: 38.55°N, 72.26°E, 5206m elev., 9.14m core length 




DATA: 
1a. Fedchenko Glacier core 1 elements data, part 1 of 2 

Core 1 Sample#   Depth(m)    Sr(ppt)    Cd(ppt)    Sb(ppt)    Cs(ppt)    Ba(ppt)    La(ppt)    Ce(ppt)    Pr(ppt)    Nd(ppt)    Sm(ppq)    Eu(ppq)    Gd(ppq)    Tb(ppq)    Dy(ppq)    Ho(ppq)    Er(ppq)    Tm(ppq)
Ice Core 39         5.94     991.19       5.93      11.77       8.22     537.95      78.06     148.03      19.04      77.80   17085.37    3726.10    4366.75    2155.50   12097.47    2199.93    5578.69     733.72
Ice Core 40         6.06     793.13       7.27      13.99       4.55     537.91      64.15     130.51      16.10      62.83   13504.61    2982.91    3234.16    1817.10    9424.62    1839.09    4558.14     595.36
Ice Core 41         6.17    2217.22      18.76       9.90       4.58    1153.39      46.00      98.77      11.75      47.95   10541.66    2645.61    2812.89    1581.39    8587.86    1619.61    4179.98     572.70
Ice Core 42         6.28    2860.78      11.10      11.67       4.57     932.40      46.45      93.50      11.30      46.42   10259.35    2339.20    2668.71    1376.76    7671.25    1431.28    3707.99     519.18
Ice Core 44         6.51    2117.88      12.20      11.76       4.01     599.96      28.97      58.80       7.20      30.83    7023.43    1651.90    1982.01     996.10    5431.42    1039.37    2794.07     389.04
Ice Core 45         6.59     240.04       1.65       3.73       1.52     100.40      11.39      22.94       2.83      11.82    2770.42     542.44     681.88     338.57    1859.84     331.69     822.09     115.79
Ice Core 46         6.69     256.44       1.51       3.24       1.36      84.63       6.97      15.62       1.75       6.94    1588.89     306.02     448.29     224.05    1125.69     203.92     519.40      72.50
Ice Core 47         6.77     887.28       1.90       5.39       1.02     160.29       3.42       6.93       0.79       3.17     680.04     163.67     271.94     121.83     618.34     104.64     283.23      39.34
Ice Core 48         6.85     342.00       1.61       3.19       1.38     109.76       4.87      10.47       1.23       4.95    1183.50     246.11     368.02     180.32     956.39     166.65     420.41      64.28
Ice Core 49         6.98     809.06       3.90       7.62       1.89     349.98       8.15      16.74       1.91       7.77    1778.63     402.39     594.00     252.91    1577.12     292.63     756.66     112.03
Ice Core 50         7.09     226.88       2.67       3.64       9.13     222.00      25.70      62.83       8.29      37.32   11592.79    1160.89    3422.51    2439.66   13631.76    2555.49    6692.38     958.53
Ice Core 51         7.17     945.85       1.93       4.93       3.33     260.84       7.90      18.40       1.92       8.20    2007.31     482.05     606.10     344.01    1889.11     345.88     946.29     139.44
Ice Core 52         7.26     227.94       5.41       8.30       1.20     116.46       3.60       7.17       0.86       3.40     714.87     149.98     283.84     118.46     641.27     130.64     325.02      49.44
Ice Core 53         7.36     169.47       5.24       8.25       2.08     120.10       7.22      15.28       1.75       6.70    1417.82     265.85     403.18     188.98    1099.58     198.35     455.90      66.02
Ice Core 54         7.47     615.62       5.89      11.52       5.61     364.15      25.45      51.70       5.76      24.06    5717.00    1227.07    1593.26     837.44    4592.26     864.15    2175.47     319.20
Ice Core 55         7.58     212.84       2.73       7.45       4.30     307.37      18.37      39.30       4.78      18.95    4476.25    1114.90    1315.70     683.83    3573.14     685.03    1723.67     240.57
Ice Core 56          7.7     190.65       3.76       7.25       8.25     287.40      34.77      70.43       8.94      37.41    8189.59    1710.89    2253.16    1355.26    7457.69    1496.52    3793.56     510.37
Ice Core 57          7.8    1086.37      14.61      19.09       8.99     781.42      58.90     119.16      14.33      60.51   13425.15    3091.17    3574.72    2051.28   10774.28    1990.44    4850.32     695.20
Ice Core 58          7.9     883.49       5.43       9.09       6.11     631.79      34.27      69.21       8.55      36.75    9187.90    2136.64    2466.50    1494.28    8389.21    1638.24    4023.86     584.54
Ice Core 59         8.01    2278.66      16.48      35.63      11.45    1200.79      74.68     158.82      18.43      76.72   16611.58    3627.61    3821.91    2197.97   11946.75    2244.58    5575.13     756.09
